@relation Tudo
 @attribute frase string
 @attribute PouN {P,N}
 @data
" fantastic great plot script ", P
" bad ", P
" great poor why ", P
" plot well ", P
" excellent great why ", P
" terrific ", P
" great nothing painful plot ridiculous supposed well wonderful ", P
" great outstanding ", P
"  ", P
" great minutes wonderful ", P
"  ", P
" great ", P
" great loved well ", P
"  ", P
" bad great ", P
" bad love plot terrific ", P
" excellent ", P
" bad enjoyed nothing pathetic ", P
" beautifully ", P
" bad different predictable well ", P
" great loved sorry ", P
" bad well ", P
" bad plot ", P
" great ", P
" annoying enjoyed predictable stupid well why ", P
" bother different great poor why ", P
" great ", P
" different predictable ", P
" well ", P
" great love well ", P
" favorite lame well ", P
" bad cheap excellent ", P
" amazing bad well ", P
" couldnt decent enjoyed horrible minutes well ", P
" decent dreadful great minutes outstanding ", P
" enjoyed great loved plot stupid ", P
" fantastic ", P
" atrocious awful bad excellent plot well ", P
" annoying boring different horrible minutes nothing plot ", P
" enjoyed strong today well ", P
" love ", P
" bad great minutes well ", P
" bad disaster enjoyed great nothing perfectly superb well why worst ", P
" decent enjoyed great horrible minutes nothing plot ", P
"  ", P
" love well why ", P
" love nothing well wonderful ", P
" excellent lame wonderful ", P
" bad terrific wonderful ", P
" well worst ", P
" beautiful boring strong well worst ", P
" enjoyed great well wonderful ", P
" great love strong ", P
" different love waste ", P
" love well worse worst ", P
" love why ", P
" bad bother different love ridiculous ", P
" bad enjoyed love plot wonderful ", P
" different enjoyed love stupid ", P
" love ", P
" great script strong well ", P
" great well ", P
" enjoyed plot well ", P
" boring different great nothing predictable ", P
" beautiful love ", P
" great nothing terrific ", P
" different great well ", P
" great nothing ", P
" amazing terrific ", P
" beautiful brilliantly enjoyed great outstanding ", P
" amazing beautiful different great love loved well ", P
" bad beautiful couldnt great laughable love nothing plot superb terrific well ", P
" beautiful love superb ", P
" bad well ", P
" well ", P
" well ", P
" well ", P
" bad different great plot ridiculous well ", P
" fantastic great ", P
"  ", P
" amazing loved plot why ", P
" amazing favorite great love plot predictable well ", P
" cheap nothing ", P
" crap ", P
"  ", P
" avoid great outstanding plot script ", P
" decent different great minutes none terrific well ", P
" different fantastic loved ", P
" amazing love loved well ", P
" different ", P
" enjoyed plot ", P
" excellent plot ", P
" excellent ridiculous well ", P
" great nothing ", P
" great stupid well ", P
" excellent nothing pointless ", P
" excellent perfectly stupid wasted ", P
" different enjoyed well ", P
" plot ", P
" annoying love loved ", P
"  ", P
" excellent love ", P
" terrible ", P
" different love ", P
" love ", P
" enjoyed love well ", P
" beautiful different great none perfectly predictable strong stupid well why ", P
" beautiful brilliantly excellent loved superb ", P
" annoying great loved wonderful ", P
" amazing great wonderful ", P
" great perfectly ", P
" love plot well ", P
" great perfectly ", P
" great ", P
" amazing beautiful love loved why ", P
" boring well ", P
" amazing excellent well ", P
" different excellent poor ", P
" beautiful ", P
" bad well why ", P
" beautiful different great wasted why wonderful ", P
" beautifully great well ", P
" amazing great script well wonderful ", P
" bother excellent well ", P
" amazing avoid beautiful loved ", P
" beautifully ", P
" bother great sorry waste well ", P
" favorite minutes supposed ", P
" beautifully ", P
"  ", P
" great well ", P
" couldnt favorite great love well ", P
" strong well ", P
" amazing love well ", P
" fantastic ", P
" avoid couldnt different dreadful favorite great love nothing plot ", P
" today well ", P
" beautiful favorite great love outstanding ", P
" beautiful none well ", P
" today ", P
" bad well why ", P
" excellent well ", P
" fantastic none sorry why ", P
" finest ", P
" amazing different fails love minutes ", P
" excellent nothing outstanding ", P
" strong ", P
" excellent well ", P
" great loved well ", P
" beautiful excellent well wonderful ", P
" bad great plot ", P
" bad enjoyed great love loved outstanding ", P
"  ", P
" excellent sorry ", P
" bad decent excellent great laughable plot supposed ", P
" bad minutes worse ", P
" bad different plot why ", P
" plot ", P
" waste ", P
" bad enjoyed well ", P
" love strong ", P
" great well wonderful ", P
" brilliantly enjoyed ", P
" favorite plot well ", P
" amazing different love wonderful ", P
" loved minutes ", P
" beautiful brilliantly decent great love well ", P
" bad love loved ", P
" beautiful cheap wonderful ", P
" great love ", P
"  ", P
" excellent favorite great love well why wonderful ", P
" love plot wonderful ", P
" nothing well wonderful ", P
" love minutes none plot today ", P
" favorite great well ", P
" annoying bad different great love plot poor well worst ", P
"  ", P
" beautiful brilliantly plot ", P
" excellent favorite outstanding ", P
" great ", P
" beautiful excellent terrific ", P
" different ", P
" amazing enjoyed excellent fantastic great loved nothing well ", P
" bad great love minutes wonderful ", P
" different why ", P
" forgettable great plot ", P
" minutes today well ", P
" avoid enjoyed great perfectly plot well ", P
" great lame plot ", P
" supposed ", P
"  ", P
" nothing today touched ", P
" bad ", P
" different enjoyed great love ", P
" favorite great plot stupid touched ", P
" love plot unfunny why ", P
" well ", P
" bad great none nothing perfectly strong well ", P
" excellent great well ", P
" enjoyed ", P
" great well ", P
" perfectly why ", P
" bad ", P
" great why ", P
" great plot poor well why ", P
" outstanding ", P
" plot ", P
" excellent loved poor ", P
" great well ", P
" favorite great ", P
" different excellent plot strong ", P
"  ", P
" great ", P
" beautifully well ", P
" amazing great love ", P
" finest well ", P
" perfectly why ", P
" strong wasted well ", P
" different love ", P
" beautiful excellent fantastic wonderful ", P
" beautifully wonderful wooden ", P
" bad favorite great love nothing superb terrible ", P
" different disaster enjoyed love minutes strong today well why wonderful ", P
" boring great loved well ", P
" bad enjoyed excellent favorite ", P
" different enjoyed love loved ", P
" love loved ridiculous sorry well ", P
" bad sorry ", P
" excellent minutes script well ", P
" beautiful great ", P
" bad brilliantly enjoyed excellent nothing perfectly ", P
"  ", P
" excellent ", P
" why ", P
" awful different excellent supposed terrific ", P
" excellent plot ", P
" enjoyed ", P
" loved ", P
" love minutes redeeming ", P
" enjoyed great ", P
" great well ", P
" bad nothing today well why ", P
" well ", P
" love loved well ", P
" love strong today well ", P
" beautiful great minutes well why ", P
" enjoyed great love well ", P
" great love well why ", P
" great terrific ", P
" great nothing outstanding plot wasted ", P
" great ", P
" great ", P
" amazing bad why ", P
" well ", P
"  ", P
" excellent great well ", P
" bad beautiful couldnt different horrible why worst ", P
" love loved well ", P
" bad couldnt enjoyed today well ", P
" great ", P
" great ", P
" great ", P
" great ", P
" well ", P
" excellent great superb ", P
" great ", P
" bad different strong well ", P
" why ", P
" couldnt great love today well ", P
" great ", P
" great ", P
" great well ", P
" great wonderful ", P
" poor ", P
" plot why ", P
" love script ", P
" favorite great love minutes well ", P
" fantastic great superb ", P
" strong ", P
" plot ", P
" boring enjoyed great ", P
" great wonderful ", P
" fantastic poor ", P
" terrible ", P
" script ", P
" excellent plot superb ", P
"  ", P
" nothing strong ", P
" amazing great outstanding well ", P
" poor strong ", P
" couldnt minutes outstanding poor ", P
" poor ", P
" excellent fantastic great poor why ", P
" love well ", P
" beautiful finest love poor ", P
" crap love wonderful ", P
" beautiful different ", P
" nothing poor ", P
" brilliantly fantastic great perfectly terrible well ", P
" supposed ", P
" beautifully fantastic plot well wonderful ", P
"  ", P
" bad great ", P
" enjoyed great ", P
" great minutes ", P
" love ", P
" amazing love ", P
" great none poorly well ", P
" decent great ", P
" great today ", P
" love plot script strong wonderful ", P
" love well ", P
" decent disaster favorite great nothing plot poor supposed today ", P
" well ", P
" finest plot well why ", P
" beautiful favorite wonderful ", P
" great today ", P
" great ", P
" great minutes perfectly plot ", P
" boring ", P
" great ", P
" amazing terrific why ", P
" great script superb supposed wasted why ", P
" none nothing terrific waste well why ", P
" loved nothing supposed why ", P
" love minutes ", P
"  ", P
" amazing ", P
" excellent ", P
" loved plot well ", P
" pointless script supposed waste ", P
" bad love none stupid why ", P
" bad boring minutes strong well ", P
" minutes plot sorry well ", P
" plot well ", P
" avoid favorite great plot poor strong supposed well ", P
" great love wonderful ", P
" great minutes nothing script ", P
" beautiful love ", P
" bad great love ", P
" enjoyed great terrific wonderful ", P
" couldnt favorite great love loved none ", P
" bad beautifully favorite great well why wonderful ", P
" love ", P
" favorite great well ", P
" amazing different great well ", P
" cheap excellent well ", P
" disaster great why ", P
" great terrible well why ", P
" beautiful love outstanding predictable supposed well ", P
" beautiful excellent ", P
"  ", P
" beautiful excellent great nothing plot strong terrific well ", P
"  ", P
" avoid bad different great worse ", P
" different love ", P
" great plot ", P
" boring well ", P
" great plot ", P
" bad ", P
" great well wonderful ", P
"  ", P
" excellent ", P
" awful ", P
" bad love ", P
" bad ", P
"  ", P
" great well why ", P
" different script ", P
" beautiful great ", P
" different ", P
"  ", P
" different ", P
" great love rubbish ", P
"  ", P
" fantastic great horrible well ", P
" different ", P
" stupid trash ", P
" couldnt different great loved ", P
" well ", P
" great minutes ", P
" excellent perfectly poor script ", P
" enjoyed great well ", P
" great well ", P
" decent well ", P
" well why ", P
" well ", P
" favorite horrible love well worst ", P
" boring fantastic great love minutes script well ", P
" bad great love supposed well ", P
" loved ", P
" bad stupid wasted ", P
" love ", P
" loved today ", P
" well ", P
" great love well why ", P
" plot poorly touched well ", P
"  ", P
" bad couldnt love nothing outstanding plot script today trash well ", P
